Unnamed: 0,1_영인운수차고지,2_대한항공.메이필드호텔,3_강서면허시험장.메이필드호텔,4_마곡수명산파크7단지,5_마곡수명산파크5단지6단지,6_마곡수명산파크2단지,7_마곡엠밸리15단지아파트,8_마곡동로사거리,9_발산역,10_등촌3동천주교회,11_등촌3동주공10단지아파트,12_서울서진학교,13_가양동천주교영등포공업고등학교,14_가양2단지성지아파트.동양고등학교,15_가양한강타운아파트,16_양천향교입구,17_양천향교역,18_서울강서우체국,19_서울호서전문학교.등촌주공3단지아파트,20_발산역2번출구,21_발산역.우장산힐스테이트,22_명덕고등학교.서울스타병원,23_우장산역,24_화곡중고등학교,25_대원시장,26_화곡역,27_화곡역.현대주유소,28_신월초등학교,29_가로공원.나누리병원,30_화곡중앙골목시장,31_화곡대림아파트,32_화곡동백구사,33_다운어린이공원.치유하는교회,34_까치산역4번출구,35_화곡8동주민센터.까치산시장,36_서울신정초등학교,37_화곡2동주민센터,38_성석교회,39_목동사거리,40_목동역.홍익병원,41_목동7단지,42_목동대학학원,43_오목교역.동신한방병원,44_관악고등학교,45_양평신동아아파트,46_교보앞,47_당산동진로아파트,48_김안과병원,49_영등포시장로터리방면,50_경방타임스퀘어.신세계백화점,51_김안과병원,52_당산동진로아파트,53_양남동로타리,54_양평1동주민센터,55_관악고등학교,56_오목교역.동신한방병원,57_목동대학학원,58_목동7단지.종로학원,59_목동역.홍익병원,60_홍익병원목동관,61_화곡동남부시장,62_화곡2동주민센터,63_서울신정초등학교,64_화곡8동주민센터,65_까치산역2번출구,66_화곡동백구사,67_화곡동대림아파트.화곡중앙시장,68_가로공원.나누리병원,69_신월초등학교,70_화곡역,71_화곡역1번출구,72_대원시장,73_화곡중고등학교,74_우장산역,75_명덕고등학교.서울스타병원,76_발산역.우장산힐스테이트,77_발산역3번출구,78_서울호서전문학교.등촌주공3단지아파트,79_서울강서우체국,80_양천향교역.휴먼빌아파트,81_가양한강타운아파트,82_가양2단지성지아파트.동양고등학교,83_한보구암마을아파트,84_강서한강자이아파트,85_등촌3동대림아파트,86_등촌3동천주교회,87_등촌주공5단지아파트,88_발산역4번출구,89_발산역9번출구,90_마곡동로사거리,91_마곡엠밸리14단지아파트,92_마곡수명산파크2단지,93_마곡수명산파크3단지4단지,94_마곡수명산파크7단지,95_강서면허시험장.메이필드호텔,96_외발산신광명마을,97_영인운수차고지
2022-03-05 04:00:00,1,1,0,1,1,0,0,0,0,0,2,0,0,3,4,4,0,0,0,5,6,0,8,0,8,5,5,6,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,1,3,3,0,2,1,0,0,0,1,0,2,0,0,2,0,3,0,2,0,4,0,0,2,0,3,0,4,3,0,2,0,4,1,5,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,3,4,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,1,2,1,0,0,0,0,0,1,0,2,2,0,0,1,3,4,3,1,1,2,0,2,4,0,11,13,14,11,4,0,0,5,6,5,4,0,0,0,0,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,6,10,9,7,4,2,4,3,1,3,0,2,4,0,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,1,0,0,1,0,0,0,0,1,0,2,3,5,2,3,0,6,2,2,4,2,5,5,4,3,0,3,7,8,9,1,4,3,5,4,7,8,6,5,4,3,4,0,3,2,1,0,5,4,3,0,0,0,0,0,0,0,0,3,7,8,7,5,7,8,12,12,9,8,7,5,7,3,2,2,1,0,2,2,0,2,1,2,0,0,0,0,0,0,1,1,1,0,0,0
2022-03-05 08:00:00,1,1,0,1,2,1,0,0,3,0,0,0,0,5,11,11,13,0,10,4,3,4,3,4,5,6,0,4,7,8,8,9,10,12,12,16,13,14,12,15,13,11,10,11,5,2,0,1,0,3,0,4,2,2,3,2,1,0,1,2,3,5,6,3,6,10,12,11,12,11,6,9,7,11,8,7,6,3,2,1,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0
2022-03-05 09:00:00,0,0,2,0,6,8,10,6,3,2,0,1,3,7,11,8,0,9,6,5,5,6,7,8,6,5,6,0,6,12,16,18,19,9,12,7,13,15,18,15,13,10,8,11,12,10,9,5,3,2,4,4,0,3,4,2,0,1,2,0,7,10,12,0,12,10,12,6,8,6,7,7,7,8,9,7,5,6,5,4,0,3,1,2,1,2,2,0,0,1,1,2,1,1,0,0,0
2022-03-05 10:00:00,0,0,0,1,4,2,3,2,1,0,0,0,4,5,9,10,5,10,8,9,11,9,7,8,3,7,4,8,9,11,12,12,11,8,9,8,12,16,18,12,8,11,10,8,0,10,5,5,0,7,6,7,8,9,13,11,14,14,12,9,8,11,13,12,9,9,11,12,10,11,11,12,11,11,10,9,6,6,3,2,3,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0
2022-03-05 11:00:00,0,0,0,1,2,5,4,3,2,3,4,2,3,2,5,7,0,9,10,6,6,7,9,7,5,1,4,5,1,2,5,6,0,6,3,5,9,6,11,7,6,1,4,2,0,2,1,0,2,5,7,0,4,5,5,4,8,2,15,12,13,16,18,18,19,14,12,13,13,16,16,15,18,16,13,10,6,5,4,3,2,2,1,3,2,1,0,0,3,2,2,0,0,1,0,0,0
2022-03-05 12:00:00,0,0,2,3,6,5,5,3,1,0,2,0,1,3,4,3,7,0,8,10,10,10,16,17,18,19,15,0,13,17,24,30,28,15,14,12,13,21,17,15,8,6,7,0,0,0,2,1,0,4,5,7,8,0,8,8,11,3,7,4,5,7,10,8,12,12,18,18,19,17,22,22,25,26,16,15,8,0,1,6,5,4,0,0,3,3,4,2,3,0,2,0,0,1,0,0,0
2022-03-05 13:00:00,0,0,0,1,3,5,1,4,2,2,0,0,4,7,9,11,11,9,7,10,10,11,11,0,10,10,12,0,13,11,11,14,14,14,15,8,10,11,14,15,13,10,10,9,10,8,8,4,3,7,9,0,11,10,8,7,11,12,16,10,14,14,14,12,14,14,16,19,15,16,17,18,16,18,19,22,18,15,14,12,8,4,3,3,2,1,5,3,1,3,2,0,2,0,0,0,0
2022-03-05 14:00:00,0,0,2,0,3,4,2,3,2,5,0,2,3,2,5,7,10,0,11,20,20,18,19,13,17,17,14,0,12,11,0,10,8,9,8,14,13,9,12,9,12,9,10,7,9,8,7,5,4,11,16,14,12,11,6,8,8,9,15,10,17,19,21,19,14,15,19,13,16,10,14,19,18,12,13,12,8,4,6,6,4,2,0,1,2,2,1,2,3,1,1,2,2,1,0,0,0
2022-03-05 15:00:00,0,0,0,2,3,4,3,0,2,0,15,4,0,3,2,3,5,8,7,16,15,21,24,21,17,12,18,20,19,13,14,16,15,14,13,14,15,22,16,14,15,8,9,6,5,2,3,4,4,8,11,4,0,0,10,9,11,5,7,5,6,8,9,6,13,12,14,15,16,16,19,20,16,14,12,11,7,6,0,6,7,6,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0
2022-03-05 16:00:00,2,2,0,0,1,0,2,1,0,4,0,3,0,6,8,0,9,11,12,16,14,17,14,13,16,16,14,16,15,9,10,9,6,6,8,5,0,6,5,4,0,2,0,0,5,0,0,3,3,8,13,14,10,13,14,12,11,14,14,13,11,13,12,8,11,8,8,6,0,7,6,5,6,7,6,7,8,0,0,8,5,2,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0
2022-03-05 17:00:00,0,0,2,5,6,7,0,5,4,1,2,0,0,4,10,0,9,7,10,12,13,16,15,16,17,15,18,3,19,14,12,12,10,9,11,11,13,11,14,12,11,0,10,1,10,0,8,4,1,7,11,0,0,10,8,8,11,15,14,13,10,13,14,13,19,17,11,12,11,13,5,11,12,10,14,10,19,19,2,18,6,3,1,2,1,0,0,3,2,1,0,1,0,0,0,0,0
2022-03-05 18:00:00,0,0,1,4,2,0,4,2,2,0,1,0,2,3,5,6,6,0,4,11,8,11,13,14,13,13,15,0,15,14,12,13,12,13,10,10,8,7,6,3,4,2,3,0,6,0,0,2,3,16,20,11,0,0,12,19,23,23,25,21,16,14,6,6,13,10,9,0,9,6,10,0,13,14,16,3,5,0,0,4,5,3,2,1,3,0,0,2,2,3,2,3,0,0,0,0,0
2022-03-05 19:00:00,0,0,0,0,0,0,1,0,0,0,2,0,0,2,7,3,9,8,6,13,16,12,11,7,11,6,7,6,4,3,2,3,1,7,7,6,1,5,6,0,0,6,0,0,1,0,0,0,3,9,10,11,12,11,10,10,11,11,13,10,9,7,8,6,10,8,8,7,6,5,5,4,6,6,6,3,11,8,7,9,7,4,3,0,0,0,0,0,1,2,1,0,0,0,0,0,0
2022-03-05 20:00:00,0,0,0,0,0,1,0,0,0,3,0,0,0,2,4,2,6,0,6,7,1,8,9,11,10,9,9,8,7,9,0,7,8,8,0,7,5,4,2,2,0,1,5,4,3,2,1,1,0,19,22,22,22,10,20,19,16,15,18,17,13,9,8,8,8,7,3,4,3,2,5,7,13,11,9,12,11,10,9,12,3,2,1,2,0,3,2,1,6,0,0,1,0,0,0,0,0
2022-03-05 21:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,3,4,0,10,11,12,12,13,11,10,11,9,7,5,5,0,4,6,1,5,4,2,1,0,0,2,1,3,3,5,3,0,0,18,21,0,0,20,18,5,20,22,27,24,16,13,13,11,13,11,6,5,4,3,4,3,2,7,5,1,6,5,5,3,1,2,1,1,1,2,1,3,7,8,6,2,0,0,0,0,0
2022-03-05 22:00:00,0,0,0,1,0,1,0,1,0,0,2,0,1,3,1,4,6,5,4,6,8,3,7,5,4,4,6,5,4,5,6,0,0,9,10,7,5,4,3,0,2,0,1,0,3,0,2,0,2,15,24,3,25,21,19,20,19,23,26,22,23,20,19,15,18,12,4,4,0,2,3,0,4,3,2,0,6,3,0,7,3,1,0,0,2,3,2,0,7,0,6,4,3,2,0,0,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,6,8,0,0,6,8,8,7,6,5,4,0,2,0,3,5,5,3,1,0,2,1,0,1,0,0,1,0,0,1,6,9,8,8,8,6,4,11,4,16,12,9,8,2,0,5,9,7,0,9,4,2,4,3,3,2,1,6,3,4,7,6,3,1,1,0,0,0,0,2,0,4,0,1,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,3,0,0,2,0,0,3,4,5,0,4,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,5,4,2,0,0,5,0,4,3,1,2,1,3,0,1,0,0,2,2,1,0,0,0,0,0,0,2,1,0,0,2,3,0,2,0,2,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,2,3,1,0,3,0,4,5,0,2,2,0,6,7,8,7,3,0,2,5,8,8,5,3,0,2,0,0,1,0,0,0,1,0,0,2,0,1,0,2,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-06 07:00:00,0,0,0,1,1,2,0,0,1,0,0,0,1,1,1,0,0,0,0,2,3,1,0,0,3,1,2,2,3,3,4,3,2,5,2,6,4,7,4,3,0,0,5,4,2,3,0,0,0,0,0,1,2,0,2,0,0,1,0,0,4,5,7,4,5,3,5,0,0,4,1,0,0,4,0,5,3,0,0,0,0,4,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0
2022-03-06 08:00:00,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,2,3,0,8,3,11,10,8,9,2,0,2,7,6,0,5,0,3,2,0,3,5,5,6,5,3,0,2,3,0,2,1,0,2,0,0,2,2,1,1,2,2,3,3,4,9,0,0,2,1,2,4,4,3,0,2,3,2,2,0,3,4,0,5,4,3,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0
2022-03-06 09:00:00,0,0,0,2,4,4,3,2,1,0,0,1,2,3,5,0,1,1,3,2,0,3,2,3,3,0,3,4,5,9,12,16,14,10,12,15,14,21,20,20,21,17,19,18,16,15,14,7,3,2,3,0,2,0,2,1,1,0,2,2,4,6,3,7,6,5,4,5,9,10,11,0,10,6,3,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2022-03-06 10:00:00,0,0,0,1,2,0,0,1,0,0,2,0,1,6,5,0,8,10,4,0,0,3,4,3,6,5,7,8,7,5,6,7,5,7,7,10,11,13,13,12,0,12,16,0,13,12,9,5,5,4,2,0,6,7,8,5,4,5,7,10,12,13,17,16,6,2,8,10,12,11,0,8,7,6,0,0,3,2,0,4,5,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0
2022-03-06 11:00:00,0,0,0,2,3,5,0,4,2,1,0,0,0,2,10,0,12,0,2,6,3,5,5,6,4,3,6,5,3,6,9,3,4,7,6,7,9,14,11,12,8,11,10,9,0,3,8,2,0,3,0,4,0,0,2,3,4,0,8,6,4,5,1,6,4,8,11,8,7,6,7,6,2,8,5,4,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2022-03-06 12:00:00,0,0,0,4,5,7,7,5,1,2,3,0,2,5,7,8,5,1,7,6,3,7,5,9,8,7,7,8,7,14,16,17,15,15,17,14,11,14,17,9,5,4,5,4,0,5,3,2,1,6,9,10,9,8,9,8,8,9,8,0,9,10,11,11,8,9,11,13,12,12,11,11,9,13,15,7,4,0,3,2,3,4,3,8,2,2,0,1,0,2,0,1,0,0,0,0,0
2022-03-06 13:00:00,0,0,0,0,1,2,0,0,0,3,4,0,2,9,13,13,12,11,11,16,19,19,19,20,0,18,20,21,19,14,14,12,11,13,14,15,19,19,21,17,15,12,9,9,0,8,6,4,0,7,9,8,9,10,6,8,9,9,13,7,12,16,19,16,16,21,19,21,23,25,26,23,21,18,15,12,6,3,5,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 14:00:00,0,0,0,0,1,5,0,2,0,0,2,0,3,4,4,1,1,0,6,9,9,9,8,10,8,7,8,0,3,8,3,6,0,10,11,6,8,12,15,14,0,11,10,11,0,6,7,3,1,6,0,0,0,0,7,8,10,11,10,15,13,16,15,15,11,10,6,13,14,12,5,11,9,11,11,5,5,1,5,4,5,4,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0
2022-03-06 15:00:00,1,0,0,0,3,1,6,3,4,0,0,0,2,0,2,1,0,3,4,10,0,14,12,13,10,11,11,4,10,9,10,14,14,12,9,10,11,11,11,10,9,9,7,8,6,4,7,2,0,16,4,15,0,0,13,1,7,3,11,10,13,14,9,10,14,12,10,6,5,6,7,0,7,6,8,6,7,9,8,7,4,3,0,2,0,3,0,1,2,0,0,0,0,0,0,0,0
2022-03-06 16:00:00,0,2,0,3,5,0,4,3,2,3,0,0,1,2,3,2,3,0,2,6,0,5,6,6,5,5,6,0,5,4,0,7,9,8,7,7,5,6,6,7,6,8,5,3,2,0,3,0,2,19,22,10,23,21,19,22,26,26,26,21,19,21,20,17,13,12,15,14,0,12,13,9,7,9,9,8,5,6,1,0,4,2,0,0,1,4,3,2,5,4,0,1,0,0,0,0,0
2022-03-06 17:00:00,0,0,0,1,3,3,4,1,1,1,0,0,4,3,4,0,7,0,7,9,11,8,8,7,9,8,0,0,7,7,7,5,0,6,9,6,5,5,7,6,7,9,11,10,11,11,11,9,7,19,22,21,19,0,20,10,22,22,19,19,19,19,19,17,17,17,11,12,13,14,17,16,12,11,13,12,13,14,11,7,4,3,3,4,0,0,0,0,1,3,1,0,0,0,0,0,0
2022-03-06 18:00:00,0,0,1,0,1,0,2,3,0,0,2,0,0,3,3,1,6,0,6,9,12,13,13,11,10,9,12,11,11,2,1,2,0,6,6,5,5,7,7,6,5,6,3,2,0,0,1,0,2,21,10,22,20,0,20,19,23,26,30,24,18,13,14,13,17,16,13,16,17,12,0,10,9,8,12,3,14,11,10,8,4,0,0,4,0,3,0,0,3,2,0,0,0,0,0,0,0
2022-03-06 19:00:00,0,0,0,0,2,0,1,0,0,0,0,2,0,0,3,1,2,0,3,6,5,7,5,0,6,0,6,8,10,9,2,0,8,10,11,9,7,8,6,6,5,5,5,4,0,3,0,0,3,10,14,15,14,0,13,13,13,13,21,8,13,12,11,10,9,9,6,5,4,5,6,9,5,7,5,0,4,2,0,2,2,1,2,0,0,3,2,1,2,0,2,0,0,0,0,0,0
2022-03-06 20:00:00,0,0,0,1,0,1,2,0,3,2,1,1,2,0,0,0,3,0,4,8,8,0,7,0,0,2,3,0,0,4,7,6,4,7,7,7,7,5,8,0,0,4,3,0,4,0,0,1,1,11,10,9,7,8,7,8,13,8,17,14,11,11,11,0,9,7,5,6,6,7,7,0,6,1,4,2,1,3,0,0,2,1,0,0,0,0,0,0,3,4,1,3,0,1,0,0,0
2022-03-06 21:00:00,0,0,0,0,0,1,0,0,1,3,2,1,0,0,2,0,4,3,2,6,0,2,1,8,8,5,3,6,6,2,0,0,0,5,8,7,3,0,2,0,0,1,2,3,3,0,2,1,0,7,13,0,0,12,8,7,11,9,3,8,5,4,2,1,9,6,5,3,4,1,0,1,0,3,3,0,7,6,0,6,3,1,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0
2022-03-06 22:00:00,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,3,3,0,11,2,13,14,13,0,12,10,11,10,9,10,0,0,12,10,8,6,5,3,4,0,0,2,0,0,0,0,1,2,5,5,0,5,0,4,5,8,10,13,12,9,5,5,4,8,6,4,6,5,6,5,6,5,5,4,3,7,9,0,8,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2022-03-06 23:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,6,6,0,6,5,5,4,3,3,4,3,0,5,0,0,5,6,3,5,7,4,3,0,0,2,1,0,0,0,0,0,4,6,0,6,3,5,6,8,7,9,7,3,3,0,2,4,2,4,3,0,3,4,5,0,1,2,0,2,1,0,3,3,1,0,0,0,0,0,0,5,9,7,1,5,0,0,0,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,0,0,0,1,2,1,1,2,0,0,2,0,0,3,5,4,0,3,5,1,0,6,7,2,6,5,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,0,0,0,1,3,3,1,2,0,0,1,2,0,0,4,2,4,0,5,4,5,4,0,0,4,3,4,4,6,5,7,9,5,3,5,4,5,7,6,4,3,0,5,3,3,1,0,1,0,1,1,0,0,2,4,3,0,0,4,0,4,8,4,6,7,0,4,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 06:00:00,0,0,1,3,0,1,2,1,0,0,0,1,2,4,6,2,3,1,0,0,2,2,1,1,1,2,0,2,3,4,5,10,7,5,5,6,8,14,10,9,0,6,2,6,1,1,3,2,0,2,0,3,0,0,0,0,5,1,4,2,4,4,10,10,6,6,7,9,10,9,10,5,0,11,13,13,3,3,1,0,0,0,0,1,2,3,2,1,1,0,0,0,1,0,0,0,0
2022-03-07 07:00:00,0,0,1,2,6,13,14,8,8,9,7,4,5,3,8,10,11,12,11,10,10,7,7,5,8,8,5,6,7,15,32,43,35,15,10,18,18,25,28,23,20,15,11,11,11,8,7,5,0,1,2,3,2,0,0,0,0,3,3,2,11,24,31,27,10,13,19,25,26,22,27,26,22,23,20,23,24,12,22,22,20,14,5,9,3,2,2,0,2,2,9,7,1,2,0,0,0
2022-03-07 08:00:00,0,1,0,3,8,10,9,6,9,7,6,2,3,5,11,10,17,14,13,6,5,8,8,12,12,10,13,17,15,25,33,42,34,16,17,19,23,39,34,31,31,27,30,28,23,22,12,5,1,15,17,14,10,6,6,5,5,3,4,3,11,22,25,20,12,15,18,23,24,15,19,19,19,16,21,19,18,16,14,8,7,8,6,4,5,8,3,5,6,5,5,3,0,4,0,1,0
2022-03-07 09:00:00,0,0,1,3,6,8,8,5,2,1,3,2,2,5,7,4,11,12,12,7,8,10,12,13,13,11,15,13,12,12,12,14,12,11,13,9,9,9,9,8,9,5,8,17,15,9,8,5,2,7,9,6,2,5,5,3,2,6,5,5,7,10,12,12,10,9,21,22,22,22,23,24,23,25,23,22,14,10,9,5,3,3,2,3,5,4,4,4,5,0,0,0,1,0,0,0,0
2022-03-07 10:00:00,0,0,0,1,2,3,3,2,1,2,4,4,2,4,6,5,10,0,13,10,8,10,11,10,8,11,10,9,8,6,7,10,8,10,9,10,10,12,14,10,7,4,5,0,0,6,4,3,2,5,7,4,6,8,9,7,7,10,12,11,12,14,17,12,15,10,8,15,15,17,16,14,12,11,12,8,3,6,5,3,3,4,3,4,4,1,0,2,3,0,0,0,0,0,1,0,0
2022-03-07 11:00:00,1,1,2,3,1,4,2,3,3,0,1,3,1,4,7,7,11,6,6,9,10,11,14,14,12,11,12,0,6,12,10,11,10,11,8,10,9,10,9,6,4,7,6,0,6,5,4,1,0,5,4,3,3,0,7,3,3,4,10,9,11,14,15,10,9,8,12,15,16,12,13,14,12,11,10,10,8,5,4,6,5,4,2,3,4,5,0,3,4,2,3,2,1,1,0,0,0
2022-03-07 12:00:00,0,0,1,0,2,5,4,3,2,3,4,3,2,2,5,6,9,8,9,9,8,12,14,14,9,9,11,12,10,11,9,8,7,10,8,8,12,11,8,8,7,5,6,0,3,5,4,2,0,4,4,5,0,6,8,7,0,6,3,5,10,11,12,7,12,11,9,8,8,9,12,11,14,16,15,6,5,4,0,3,5,4,5,3,4,5,2,4,1,3,2,1,0,0,0,0,0
2022-03-07 13:00:00,1,0,1,1,4,0,0,2,6,8,4,6,5,4,8,1,3,8,9,7,12,10,10,7,10,11,13,0,9,8,7,11,8,7,9,7,8,9,9,8,13,12,10,8,4,0,3,1,0,8,9,1,10,3,14,12,16,15,16,16,19,22,20,21,17,15,13,12,9,11,10,9,9,11,17,13,9,7,7,4,3,2,0,1,2,3,2,1,2,0,1,1,0,0,0,0,0
2022-03-07 14:00:00,0,0,0,3,5,6,5,5,4,4,5,0,7,5,8,9,10,4,8,10,12,12,17,18,17,16,16,17,9,18,8,13,10,13,13,10,11,13,13,11,9,6,7,6,0,0,1,3,1,11,20,18,18,17,14,14,13,14,17,14,15,16,16,17,11,13,11,11,17,18,12,15,12,7,7,8,8,7,5,4,5,4,3,4,3,2,3,2,3,3,2,3,0,3,0,0,0
